URL,Version,Status,OIDs,Name,Title,Description,Used
https://hl7.pt/fhir/noticia-nascimento/CodeSystem/InfosGravidezCS,1.0.0,active,,InfosGravidezCS,Elementos adicionais de informação gravidez CodeSystem,"Elementos adicionais de informação gravidez CodeSystem - Criado por falta de um código internacional ideal",
https://hl7.pt/fhir/noticia-nascimento/CodeSystem/documentclassificationCS,1.0.0,active,,DocumentclassificationCS,Classficação de documentos CodeSystem,"Classficação de documentos CodeSystem",
https://hl7.pt/fhir/noticia-nascimento/CodeSystem/tipo-episodio-cs,1.0.0,active,,TipoepisodioCS,Tipos de episódio CodeSystem,"Tipos de episódio CodeSystem",
